playername,elo
JACTROLL,1003.9161501173304
Lava,1003.8416524794173
Hran,1003.8354032574633
Maxlore,1003.7982418215032
Vsta,1003.6971832298609
Delicate,1003.661638076937
Ranger,1003.6122929629455
Lojaz,1003.5774395430449
Doux,1003.5557100818822
Vinicete,1003.4026876857215
Hakari,1003.3109458427258
10ng,1003.2559912874268
JDMHran,1003.1444579887025
Lei,1003.110293068918
Callme,1003.0372991964027
Antcliff,1003.0370421786307
Starfire,1003.0359249646889
Yama,1002.9705744883108
DMN Clover7,1002.9571307255466
Lukshy,1002.9199885982453
kubYD,1002.8976077286399
M8 BAO,1002.8938526405435
FL Leo,1002.8744431131734
Tracyn,1002.8564880272447
Hungry,1002.8407592943531
zzx,1002.8370427189014
DUCK Hiccup1357,1002.8053808878274
Special,1002.78922459498
Aomine,1002.7757165498383
Nayuki,1002.7575900840991
Anato,1002.7001104575836
Soligo,1002.6844823870344
Moozi,1002.6488982517135
CL0UD,1002.642274739204
pqy,1002.6348995986253
Chaye,1002.6344145202863
Viketox,1002.6330692717023
Prank,1002.6181739829473
niinim,1002.6085888773665
Trigo,1002.6023743501969
Aloned,1002.5962076284779
Skaterot,1002.5633534476283
Bitse,1002.5615104644684
Kongzhi,1002.5494219403741
RELLancelotLink,1002.5485405893514
Namex,1002.5223683535563
Haoye,1002.520364524646
lamb,1002.4744850833212
Aang,1002.4209272172977
Rocks908,1002.4152494438638
7copy,1002.3986502375632
Eika,1002.3456014888473
DNA,1002.2734802657284
sinicky,1002.2259410524134
Weizhe,1002.1989131671565
Blubber,1002.1782905530606
Crush3,1002.1175187421549
MooseHater,1002.1056049402532
Tenshi,1002.0930002723934
Dawciu,1002.0791561170672
Anyone,1002.076278242048
kelin,1002.0564484721273
Bless1,1001.9955337335691
Griba,1001.9006323498498
Aliez,1001.8512766778101
zhiqiuyi,1001.7410920916645
xHun,1001.731464704414
Pride,1001.7296587222153
Ryuzaki,1001.6884944671871
ACD,1001.6854039691657
Vander,1001.6541956788268
Mimosa,1001.6448280138206
kairi,1001.627243890336
nyx,1001.6246169170594
Erolle,1001.554191196444
Mobility,1001.5443699455424
fled,1001.3400077142744
PicaPica,1001.3384609530623
Junhao,1001.2649970012974
Boukada,1001.2541304439483
Baut,1001.2394265271244
lanlan,1001.1860916350572
GO Prime,1001.1715281546531
Aherusi,1001.128511825531
xiaosiji,1001.0563729375019
Comp9,1001.0401322663176
Yozu,1000.9793270996798
Betão,1000.9557002325412
Mir,1000.9069086902665
Shogun,1000.873809244561
Invictis,1000.8535045893726
GuGer,1000.7586577135676
Ancrath,1000.6883944165742
Mirbs,1000.5970869035636
Davemon,1000.5763920633275
Warszi,1000.5757317029207
Poome,1000.5356574351899
Dan,1000.513719266616
Scarlet,1000.4722331731999
Vzz,1000.4488701873358
Pyrka,1000.4353995307116
Kubon,1000.3651914073238
Yunbee,1000.357093531892
Insulator,1000.3448960457146
Dragonmin,1000.3375746116968
SophistSage,1000.3288792371295
Manaty,1000.3130724699228
Mishi,1000.3050477836512
Letter,1000.2719395824084
rovex,1000.2373866875765
Darshan,1000.1983876455588
Raptor,1000.1968754543744
Yukina,1000.1843645024102
FlayStation,1000.1441156837047
Nash,1000.1079652958201
