playername,position,kills,deaths,assists,dpm,damageshare,wardsplaced,wpm,visionscore,vspm,totalgold,earnedgold,earned gpm,damagetochampions,minionkills,monsterkills,result,win_percent
Afroboi,jng,1.7423913043478259,2.252173913043478,5.105434782608696,301.43134673913045,0.08964729717391304,5.470652173913043,0.2438391304347826,29.11086956521739,1.2931902173913044,7259.525,4327.027173913043,194.15247717391304,6699.464130434782,17.09673913043478,97.00326086956521,0.4891304347826087,0.0
Ag0nyPain,mid,1.3499999999999999,2.1999999999999997,3.35,498.47625000000005,0.17101634999999998,9.45,0.45355,20.4,0.9651785714285713,7792.15,5066.65,238.61412142857142,10443.399999999998,171.5,0.9,0.21428571428571427,0.0
Agresivoo,top,1.52875,2.10625,2.69,512.4975037500001,0.15041399149999998,9.4475,0.41762499999999997,24.98875,1.0963337499999999,8377.28125,5418.4625,238.541805,11758.307499999999,173.93625,4.897499999999999,0.35,0.0
Aherusi,mid,2.4769230769230766,1.9788461538461537,4.926923076923076,524.2378576923077,0.15880251692307693,9.544230769230769,0.4406865384615385,25.29423076923077,1.1525673076923078,8544.186538461538,5669.13846153846,260.15154615384614,11457.707692307691,167.9057692307692,2.4769230769230766,0.5192307692307693,0.0
Ahj,mid,4.1125,2.0999999999999996,3.5874999999999995,833.5808,0.183808275,6.387499999999999,0.3072375,13.475,0.6461749999999999,9241.4875,6520.849999999999,313.92385,17371.8125,167.29999999999998,8.487499999999999,0.5,0.0
Ahn,bot,4.198675496688741,2.6887417218543046,5.271523178807947,660.5940119205299,0.2898845231788079,14.675496688741722,0.46519867549668875,42.17880794701987,1.3265900662251655,13965.324503311258,9862.430463576158,310.9958476821192,21402.947019867548,269.94701986754967,16.337748344370862,0.44370860927152317,0.44370860927152317
Aikawa,bot,3.045614035087719,1.2157894736842105,4.371929824561403,702.6097807017544,0.19171681052631578,11.875438596491227,0.5096736842105263,32.8140350877193,1.4084473684210526,10170.066666666666,7126.503508771929,305.22367192982455,16852.536842105263,202.52105263157893,12.550877192982457,0.5614035087719298,0.0
Aiming,bot,4.84,1.4533333333333334,4.742222222222222,661.528072,0.29638436,14.76,0.4533368888888889,49.07555555555555,1.4896484444444444,15497.213333333333,11213.586666666666,342.78415822222223,22026.244444444445,311.3777777777778,21.47111111111111,0.6044444444444445,0.6044444444444445
Aincardz,jng,1.15,3.0,4.05,351.45032142857144,0.10865057,6.049999999999999,0.2771642857142857,28.949999999999996,1.3151785714285715,6752.099999999999,3915.0499999999997,181.68691428571427,7732.799999999998,13.299999999999999,104.75,0.2857142857142857,0.0
Airren,bot,2.8235955056179773,2.422471910112359,3.4292134831460674,555.3281483146067,0.16879247786516852,9.1,0.4171516853932584,23.092134831460672,1.0606842696629213,8569.006741573034,5801.348314606742,271.31706067415735,12228.0404494382,162.58876404494382,8.344943820224719,0.2808988764044944,0.0
Aithusa,mid,3.0104477611940297,2.3134328358208953,4.329850746268656,626.670923880597,0.2228610343283582,12.067164179104477,0.4525671641791045,33.485074626865675,1.2552373134328358,10365.864179104476,6929.440298507463,265.8571208955224,16933.870149253733,202.59701492537314,7.8552238805970145,0.3880597014925373,0.0
Aito,mid,2.0999999999999996,2.0999999999999996,5.6,573.5058,0.14629545,5.6,0.2541,12.95,0.55305,8117.199999999999,5149.2,220.72764999999998,12917.8,160.3,12.6,0.0,0.0
Aizo,top,0.5249999999999999,4.199999999999999,1.75,309.819725,0.12506165,7.874999999999999,0.39359999999999995,16.45,0.849225,5462.45,2881.8999999999996,144.01015,6060.25,108.675,0.5249999999999999,0.0,0.0
Akaadian,jng,0.7,2.8,2.8,367.70285,0.12600279999999997,11.549999999999999,0.5553,31.15,1.4884,7518.699999999999,4635.4,210.35625,8128.4,22.049999999999997,111.65,0.0,0.0
Akabane,jng,2.2312499999999997,1.9687499999999998,6.3,314.54230625,0.0929482684375,7.0,0.31794375,33.074999999999996,1.495228125,7745.521874999999,4857.409374999999,226.190234375,6763.531249999999,19.90625,104.43124999999999,0.59375,0.0
Akano,jng,1.0,5.0,3.625,228.04963750000002,0.1307765,4.25,0.182925,21.25,0.9006625,6878.0,3733.625,157.3362875,5273.375,8.375,98.125,0.125,0.0
Aki,jng,2.211340206185567,2.4587628865979383,6.592783505154639,327.49963762886597,0.138511943814433,11.128865979381443,0.34683814432989685,46.44845360824742,1.4591644329896907,10757.340206185567,6613.6082474226805,210.82635515463917,10468.824742268042,26.61855670103093,154.67525773195877,0.5257731958762887,0.5257731958762887
Akia,sup,0.9565217391304348,3.391304347826087,12.08695652173913,217.57314347826087,0.08086187391304347,52.73913043478261,1.6757391304347826,100.6086956521739,3.2169086956521737,7845.130434782609,3789.1739130434785,124.82815652173913,6661.130434782609,34.69565217391305,0.34782608695652173,0.782608695652174,0.0
Akre,jng,2.022222222222222,2.333333333333333,3.7333333333333325,416.0981,0.14209783388888886,3.4999999999999996,0.1426222222222222,35.46666666666667,1.414261111111111,7988.555555555556,4793.1722222222215,192.71465555555557,10623.977777777776,20.18333333333333,111.02777777777777,0.1111111111111111,0.0
Aladoric,sup,0.9479166666666666,3.25,12.010416666666666,203.41379479166667,0.08070680729166667,47.822916666666664,1.569375,88.09375,2.912803125,7574.947916666667,3651.8229166666665,124.42320833333333,6038.864583333333,30.291666666666668,0.20833333333333334,0.6145833333333334,0.26666666666666666
Alaric,sup,0.8217391304347825,2.952173913043478,7.8826086956521735,221.76920869565217,0.05060392826086956,33.75217391304348,1.5072391304347825,66.5304347826087,2.988634782608696,5680.621739130434,2812.9956521739127,131.27815217391304,4640.391304347825,22.582608695652173,0.0,0.6956521739130435,0.0
Alby,jng,1.0499999999999998,1.6333333333333333,4.51111111111111,355.22364444444446,0.11291078944444442,4.238888888888889,0.1860888888888889,35.544444444444444,1.5760555555555555,7264.327777777778,4296.95,191.94308333333333,8427.883333333333,19.988888888888887,101.26666666666667,0.4444444444444444,0.0
Ale,top,2.746031746031746,2.4444444444444446,4.105820105820106,513.0507656084657,0.21955194126984126,12.71957671957672,0.4044756613756613,32.02116402116402,1.011914814814815,12631.74074074074,8532.142857142857,272.19244920634924,16134.142857142857,251.73544973544975,13.603174603174603,0.5343915343915344,0.5343915343915344
Alex,jng,2.264705882352941,2.735294117647059,7.529411764705882,328.54527352941176,0.13959138529411763,10.705882352941176,0.31998823529411763,65.44117647058823,1.941164705882353,10940.558823529413,6597.85294117647,200.47279117647057,10903.117647058823,30.41176470588235,148.7058823529412,0.5588235294117647,0.5588235294117647
Alex234,jng,1.204,3.1079999999999997,4.255999999999999,288.46776400000005,0.08860064359999999,6.047999999999999,0.289976,24.555999999999997,1.192308,6346.255999999999,3644.7319999999995,178.55267200000003,5972.4839999999995,10.78,93.94,0.2,0.0
Alexx,jng,1.53125,2.1291666666666664,5.220833333333332,296.30470833333334,0.09436874270833333,4.8999999999999995,0.20972916666666666,30.683333333333334,1.329075,7364.904166666666,4375.568749999999,192.56984791666665,6777.691666666666,17.339583333333334,98.875,0.4791666666666667,0.0
Alice,jng,2.488888888888889,1.672222222222222,4.861111111111111,325.6547,0.08994833944444444,3.927777777777777,0.20109444444444444,20.688888888888886,1.0626055555555556,7147.233333333334,4612.688888888889,241.04915555555556,6294.788888888888,11.783333333333333,107.1,0.6111111111111112,0.0
Aliez,top,2.0083333333333333,1.5833333333333333,3.4666666666666663,547.7592357142858,0.16753687833333333,6.725,0.31827261904761905,19.9,0.9270273809523809,8654.9,5862.141666666666,274.54623333333336,11893.658333333333,170.61666666666665,8.625,0.47619047619047616,0.0
Alive,sup,0.7,3.0,3.3000000000000003,183.65172857142858,0.05327961999999999,30.0,1.4140142857142857,58.199999999999996,2.7622285714285715,5069.4,2322.4999999999995,109.63558571428572,3895.5,42.0,0.0,0.0,0.0
Alley,top,2.5439024390243903,2.3987804878048777,2.919512195121951,572.914037804878,0.1810328475609756,6.615853658536586,0.3142756097560976,18.080487804878047,0.8542524390243902,8707.837804878049,5943.640243902439,281.8147487804878,12206.30975609756,165.67804878048779,6.564634146341463,0.4878048780487805,0.0
Allezs,top,0.9333333333333332,2.3333333333333335,2.0999999999999996,361.48496666666665,0.13200296666666667,9.799999999999999,0.45986666666666665,22.866666666666664,1.0584,7170.566666666666,4383.866666666666,202.9937666666667,7860.066666666666,151.89999999999998,1.1666666666666667,0.3333333333333333,0.0
Allorim,top,1.7011627906976743,1.7581395348837208,4.004651162790697,499.30405697674416,0.14416948081395348,7.626744186046511,0.35571627906976744,17.841860465116277,0.8291779069767441,8106.431395348837,5308.254651162791,250.57278255813955,10597.934883720929,162.66046511627906,2.783720930232558,0.4883720930232558,0.0
Aloned,mid,2.38,2.1,3.0799999999999996,573.4358599999999,0.1786582,12.879999999999999,0.5534,38.64,1.66604,10091.759999999998,7061.32,305.98303999999996,13334.859999999997,215.6,6.3,0.6,0.0
Alvaro,sup,0.7035211267605633,3.2225352112676053,9.259859154929577,195.2162176056338,0.07274093605633802,48.63732394366197,1.6697021126760563,96.0056338028169,3.317801408450704,7202.566197183099,3519.8528169014085,127.56649647887325,5374.114084507042,33.4669014084507,0.24366197183098592,0.528169014084507,0.4470588235294118
Amazo,jng,2.1218749999999997,1.18125,5.031249999999999,386.630146875,0.1151430459375,5.3374999999999995,0.228271875,34.234375,1.441046875,8404.9875,5333.934375,227.45451875,9090.834375,25.287499999999998,121.31875,0.65625,0.0
Anato,jng,1.2075,1.8024999999999998,5.635,266.164835,0.09258259675,9.415,0.40539250000000004,37.152499999999996,1.60579,7313.1449999999995,4339.6675,190.0257,6166.492499999999,15.5575,98.0175,0.5,0.0
Ancrath,jng,2.05,2.183333333333333,5.216666666666667,384.7134952380952,0.11980973166666666,5.8,0.2586547619047619,35.65,1.5668809523809524,7777.949999999999,4833.716666666666,215.0912642857143,8905.349999999999,21.766666666666666,104.46666666666665,0.5,0.0
Andil,sup,0.579375,3.1287499999999997,6.02125,189.595089375,0.0740125884375,43.78,1.495921875,86.29499999999999,2.9879249999999997,6737.525,3025.98375,104.779110625,5364.089375,34.224374999999995,0.305,0.3375,0.3854166666666667
Angel,mid,3.0738255033557045,1.9865771812080537,5.3624161073825505,558.5130865771813,0.2518802751677852,14.38255033557047,0.4632677852348993,43.1744966442953,1.3775959731543623,12502.369127516778,8459.570469798658,274.1131134228188,17458.758389261744,259.9597315436242,8.36241610738255,0.47651006711409394,0.47651006711409394
Antcliff,top,2.8,3.5,4.199999999999999,718.4393,0.15525509999999998,9.1,0.322,18.9,0.6689,10707.9,7056.7,249.7358,20300.699999999997,192.5,7.0,1.0,0.0
Antonio,bot,3.1370370370370364,1.6074074074074072,3.681481481481481,667.4203777777778,0.19294774074074073,7.5703703703703695,0.331937037037037,18.9,0.8109888888888889,9778.3,6787.407407407408,293.09567407407405,15640.722222222223,195.76666666666665,10.318518518518518,0.37037037037037035,0.0
Antwere,jng,1.2133333333333332,2.52,3.5466666666666664,306.9357933333333,0.10493643066666666,3.5466666666666664,0.16658,27.906666666666663,1.3333066666666666,6328.0,3610.133333333333,172.71970666666667,6643.466666666666,17.546666666666667,84.27999999999999,0.2,0.0
Anyone,bot,2.5374999999999996,1.9249999999999998,6.9125,711.7673374999999,0.16577881249999998,4.375,0.20245,11.724999999999998,0.53885,9145.324999999999,6323.1875,296.2449375,15443.574999999999,175.17499999999998,4.199999999999999,0.625,0.0
Anyyy,mid,2.5854838709677415,1.1967741935483869,4.9564516129032254,633.1889596774193,0.1962570693548387,10.985483870967741,0.46736774193548386,25.14354838709677,1.0620387096774193,9540.277419354838,6474.254838709678,276.99745322580645,15136.495161290322,193.64032258064515,4.933870967741935,0.4838709677419355,0.0
Aojune,mid,2.85,2.6,3.625,628.9571357142858,0.175887225,6.249999999999999,0.3006642857142857,15.825,0.7534357142857143,8045.724999999999,5322.9,254.93948214285714,13297.6,157.275,3.8999999999999995,0.39285714285714285,0.0
Aomine,bot,4.65625,2.0625,6.0625,763.48873125,0.29062603124999997,11.375,0.347621875,35.46875,1.07230625,14593.15625,10306.96875,316.46241875,25007.0625,301.59375,12.4375,0.5,0.0
Apii,sup,0.8387096774193549,2.5161290322580645,11.193548387096774,159.13193870967743,0.06747195806451613,40.45161290322581,1.2732096774193549,87.0,2.799848387096774,7559.709677419355,3550.7419354838707,121.51334516129033,4788.354838709677,31.0,0.12903225806451613,0.5161290322580645,0.0
Arashi,jng,1.2222222222222223,4.111111111111111,4.166666666666667,288.55600555555554,0.16653555555555555,10.555555555555555,0.4113833333333333,37.888888888888886,1.4904777777777778,7946.0,4556.944444444444,176.90263333333334,7501.611111111111,19.055555555555557,115.22222222222223,0.1111111111111111,0.1111111111111111
